title,genres,rating
"Big Chill, The (1983)",Comedy|Drama,"[4.0, 5.0, 3.0, 5.0, 4.0, 3.0, 4.0, 4.5, 4.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 2.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.5, 4.0]"
Enemy of the State (1998),Action|Thriller,"[5.0, 3.5, 2.5, 2.0, 3.0, 2.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 4.0, 1.0, 4.0, 4.0, 3.0, 3.0, 2.0, 4.0, 4.0, 3.0, 3.5, 4.5, 3.0, 3.5, 4.0, 3.0, 4.5, 3.5, 4.0, 3.5, 5.0, 2.5, 3.0, 3.0, 3.0, 4.5, 3.5, 5.0, 4.0, 3.5, 2.0, 4.5, 4.0, 3.0, 5.0, 2.0, 4.0, 4.0, 3.5, 4.5, 4.5, 2.5, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 5.0, 4.0, 2.0, 2.5, 3.0, 4.0]"
"Rugrats Movie, The (1998)",Animation|Children|Comedy,"[2.0, 1.0, 3.0, 4.0, 2.5, 2.0, 3.0]"
"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,"[3.0, 4.0, 3.0, 3.0, 5.0, 5.0, 4.0, 4.0, 3.5, 3.0, 2.0, 3.5, 3.5, 4.0, 4.0, 4.0, 3.0, 4.5, 4.0, 3.5, 0.5, 4.0, 3.0, 3.5, 3.0, 5.0, 4.0, 3.5, 4.0, 3.0, 3.5, 5.0, 3.5, 4.0, 3.0, 5.0, 3.0, 3.5, 4.0, 4.0, 3.0, 4.0, 3.0, 3.0, 3.5, 3.0, 3.5, 3.0, 3.5, 3.5, 4.0, 3.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 2.0, 1.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 3.5, 2.5, 5.0, 3.0, 3.5, 0.5, 5.0, 3.5, 3.0, 3.0, 4.0, 2.5, 5.0, 4.0, 3.5, 4.0, 2.5, 3.0, 3.0, 4.5, 3.0, 4.0, 3.5]"
Celebrity (1998),Comedy,"[3.5, 3.0, 2.5, 1.0, 3.0]"
Central Station (Central do Brasil) (1998),Drama,"[5.0, 4.0, 4.0, 5.0, 4.0, 4.5]"
Savior (1998),Drama|War,[4.0]
Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy,"[4.0, 4.0, 4.5, 4.0, 3.0, 5.0, 3.0, 3.5, 2.0, 4.0, 4.0, 5.0, 4.0, 4.0, 3.0, 3.5, 4.0, 4.0, 4.0, 3.5, 4.0, 4.0, 4.0, 2.5, 1.0, 4.0]"
"Celebration, The (Festen) (1998)",Drama,"[4.5, 4.0, 5.0, 3.0, 5.0, 4.5, 5.0, 4.5, 4.5, 4.0, 4.5, 5.0]"
Pink Flamingos (1972),Comedy,"[3.0, 3.0, 1.0, 4.0, 3.0, 2.0, 4.0, 3.0, 4.0, 0.5]"
Glen or Glenda (1953),Drama,[4.0]
Godzilla (Gojira) (1954),Drama|Horror|Sci-Fi,"[2.5, 1.0, 3.0]"
"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",Action|Horror|Sci-Fi|Thriller,"[1.0, 2.0]"
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),Action|Sci-Fi,"[2.0, 3.0]"
King Kong (1933),Action|Adventure|Fantasy|Horror,"[4.0, 5.0, 4.5, 3.0, 4.0, 3.0, 5.0, 4.0, 2.0, 4.0, 3.5, 3.5, 4.0, 4.0, 5.0, 5.0, 3.0, 2.0, 1.5, 3.0, 4.0, 3.0, 3.0, 5.0, 3.0]"
King Kong (1976),Adventure|Fantasy|Romance|Sci-Fi|Thriller,"[2.0, 3.0, 3.0, 1.0, 2.0, 2.0, 3.0, 2.5, 2.0, 3.0, 3.0, 3.0, 5.0, 3.5]"
King Kong Lives (1986),Adventure|Sci-Fi,[2.0]
Desperately Seeking Susan (1985),Comedy|Drama|Romance,"[2.0, 2.0, 3.0, 4.0, 4.0, 2.5, 3.0, 3.0, 1.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 1.0, 3.0, 3.0, 3.0, 3.0, 2.5, 4.0, 3.0]"
"Emerald Forest, The (1985)",Action|Adventure|Drama,[3.0]
Fletch (1985),Comedy|Crime|Mystery,"[4.0, 5.0, 3.5, 1.0, 3.0, 3.0, 2.0, 4.0, 3.0, 1.0, 2.0, 3.5, 2.0, 4.0, 2.5, 2.5, 4.5, 4.0, 3.0, 3.0, 3.0, 3.0, 5.0, 2.5]"
Fletch Lives (1989),Comedy,"[1.0, 5.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.5, 1.5]"
Red Sonja (1985),Action|Adventure|Fantasy,"[1.0, 4.0, 2.0, 3.0, 1.0, 2.0, 2.0, 3.0, 2.5]"
Gung Ho (1986),Comedy|Drama,"[2.0, 4.0, 3.0, 2.0, 3.0, 2.5, 4.0, 4.0, 4.0]"
"Money Pit, The (1986)",Comedy,"[2.0, 3.0, 5.0, 3.0, 2.5, 5.0, 2.0, 1.0, 3.0, 3.0, 3.0, 3.0, 0.5, 3.0, 4.0, 3.0, 4.0, 4.0, 3.0, 2.0, 2.5]"
"View to a Kill, A (1985)",Action|Adventure|Thriller,"[4.5, 4.0, 5.0, 3.5, 3.0, 3.0, 3.0, 2.0, 4.0, 4.0, 3.5, 3.0, 3.0, 3.5, 3.0, 2.5, 3.0, 4.0, 1.5, 2.0, 2.5]"
Lifeforce (1985),Horror|Sci-Fi,"[2.0, 4.0, 3.0, 2.5, 1.0]"
Police Academy (1984),Comedy|Crime,"[2.5, 3.5, 3.0, 0.5, 3.0, 3.5, 3.5, 3.0, 4.0, 1.0, 4.0, 2.0, 3.5, 2.0, 3.0, 4.5, 2.0, 3.0, 5.0, 4.0, 3.5, 2.5]"
Police Academy 2: Their First Assignment (1985),Comedy|Crime,"[2.0, 3.0, 2.5, 4.0, 1.0, 1.0, 1.0, 3.0, 2.0, 1.5, 5.0, 3.5]"
Police Academy 3: Back in Training (1986),Comedy|Crime,"[1.5, 3.0, 3.0, 3.0, 1.0, 3.0, 2.0, 0.5, 5.0, 1.0]"
Police Academy 4: Citizens on Patrol (1987),Comedy|Crime,"[2.5, 3.0, 1.0, 0.5, 2.0, 5.0, 1.0]"
Police Academy 5: Assignment: Miami Beach (1988),Comedy|Crime,"[3.0, 1.0, 2.0, 5.0, 1.5]"
Police Academy 6: City Under Siege (1989),Comedy|Crime,"[2.5, 1.0, 2.0, 0.5]"
Babe: Pig in the City (1998),Adventure|Children|Drama,"[1.0, 4.0, 3.0, 1.5, 2.0, 4.0, 2.5, 0.5, 4.0, 2.0, 1.0, 4.5, 5.0, 3.5, 3.0, 3.5, 3.0, 4.5, 3.0, 2.0, 3.0, 4.0, 4.5, 0.5, 1.0, 2.0, 3.0, 1.5, 3.5]"
Home Fries (1998),Comedy|Romance,"[2.0, 3.0, 2.0]"
Very Bad Things (1998),Comedy|Crime,"[5.0, 3.0, 4.5, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 1.0, 4.0, 1.5, 3.0]"
Steam: The Turkish Bath (Hamam) (1997),Drama|Romance,[4.0]
Psycho (1998),Crime|Horror|Thriller,"[2.0, 1.5, 0.5, 2.0, 2.5, 2.0, 1.0, 3.5, 2.0]"
Little Voice (1998),Comedy,"[5.0, 4.0, 3.0, 3.0, 5.0, 3.5, 4.0]"
"Simple Plan, A (1998)",Crime|Drama|Thriller,"[2.0, 5.0, 4.5, 5.0, 4.5, 4.0, 2.0, 3.5, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 5.0, 4.0, 3.0, 4.0, 4.0]"
Jack Frost (1998),Children|Comedy|Drama,"[3.0, 2.0, 2.0, 1.5, 0.5, 2.5, 2.0, 2.0]"
Star Trek: Insurrection (1998),Action|Drama|Romance|Sci-Fi,"[3.0, 0.5, 0.5, 2.0, 3.0, 2.0, 3.0, 3.0, 4.0, 3.5, 5.0, 2.0, 4.5, 3.0, 3.0, 3.0, 4.0, 5.0, 1.0, 4.0, 3.5, 3.5, 4.0, 3.5, 4.0, 3.0, 3.0, 3.5, 4.0, 4.0, 2.5, 4.0, 2.5]"
"Prince of Egypt, The (1998)",Animation|Musical,"[3.0, 5.0, 3.5, 3.0, 4.5, 2.5, 3.0, 4.0, 5.0, 4.0, 3.0, 3.0, 3.0, 4.0, 2.0, 5.0, 4.5, 3.5, 1.5, 3.0, 5.0, 3.0, 3.5, 3.0, 3.0]"
Rushmore (1998),Comedy|Drama,"[5.0, 3.0, 5.0, 1.5, 2.0, 1.0, 5.0, 5.0, 3.0, 2.5, 1.0, 3.5, 3.5, 3.5, 5.0, 2.5, 3.0, 3.5, 5.0, 3.0, 2.5, 5.0, 2.0, 3.5, 3.0, 2.0, 4.0, 3.5, 1.0, 3.5, 3.0, 4.0, 3.5, 5.0, 4.0, 4.0, 2.0, 4.0, 5.0, 3.5, 4.0, 2.0, 4.5, 4.0, 3.0, 4.5, 5.0, 3.5, 4.5, 3.0, 4.0, 3.0, 4.0, 5.0, 5.0, 5.0]"
Shakespeare in Love (1998),Comedy|Drama|Romance,"[4.0, 4.0, 4.0, 5.0, 4.0, 3.5, 2.0, 4.0, 4.0, 4.0, 4.5, 4.0, 5.0, 3.0, 4.0, 3.0, 3.5, 2.5, 4.0, 1.0, 3.5, 5.0, 4.5, 4.0, 2.0, 4.0, 4.0, 5.0, 5.0, 4.0, 2.0, 3.0, 4.0, 4.0, 5.0, 4.0, 4.5, 2.0, 4.0, 4.0, 1.0, 5.0, 4.0, 3.0, 4.0, 4.0, 4.0, 1.5, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.5, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.5, 5.0, 5.0, 0.5, 4.0, 4.0, 4.0, 4.5, 3.5, 2.5, 3.5, 1.5, 4.0, 5.0, 2.0, 4.5, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0, 2.0, 4.0]"
Miracle on 34th Street (1947),Comedy|Drama,"[4.0, 3.0, 2.5, 3.0, 4.5, 4.5, 5.0, 4.0, 4.0, 3.5, 3.5, 5.0, 4.5, 4.5, 5.0, 3.5, 5.0]"
Santa Claus: The Movie (1985),Adventure|Children|Fantasy,"[2.0, 2.0, 3.0, 2.0]"
Prancer (1989),Children|Drama|Fantasy,"[3.0, 3.0]"
Pale Rider (1985),Western,"[4.0, 4.5, 3.0, 3.0, 3.0, 4.0, 5.0, 4.0]"
Rambo: First Blood Part II (1985),Action|Adventure|Thriller,"[3.0, 1.0, 2.5, 1.0, 2.0, 4.5, 4.0, 3.5, 1.0, 3.0, 4.0, 2.0, 3.0, 2.0, 2.0, 3.0, 4.0, 2.0, 3.0]"
First Blood (Rambo: First Blood) (1982),Action|Adventure|Drama|Thriller,"[2.5, 2.0, 4.0, 4.5, 4.0, 3.0, 3.0, 3.0, 3.5, 2.0, 3.5, 4.0, 2.0, 4.0, 4.0, 3.0, 5.0, 3.0, 4.0, 2.0, 4.0, 3.5, 3.0, 4.5, 4.5, 3.5, 5.0, 3.0, 5.0, 4.5]"
Rambo III (1988),Action|Adventure|Thriller|War,"[2.0, 1.0, 2.0, 1.0, 2.0, 3.0, 2.0, 2.0, 1.0, 3.0, 2.0, 2.0]"
"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance,"[2.5, 2.0, 3.5, 2.0, 3.0, 3.5, 3.0, 3.0, 1.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.5, 1.0, 3.0]"
Romancing the Stone (1984),Action|Adventure|Comedy|Romance,"[4.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.5, 4.0, 4.0, 4.0, 4.5, 4.0, 4.0, 2.0, 5.0, 3.5, 4.0, 3.0, 3.0, 4.0, 4.0, 3.5, 3.0, 3.0, 3.0, 2.0, 2.5, 2.0, 3.0, 3.0, 3.5, 3.0, 4.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.5, 3.0, 4.5, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 3.5, 4.0, 2.5, 3.5, 2.0]"
Cocoon (1985),Comedy|Sci-Fi,"[2.0, 4.0, 4.0, 2.0, 2.0, 3.5, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.5, 4.0, 3.0, 4.5, 4.0, 3.5, 1.5, 4.0, 2.0, 3.5, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 3.5, 3.0, 2.0, 2.5, 4.0, 3.0, 3.5, 4.0, 4.0, 4.0, 4.0, 2.0, 3.0, 3.0]"
Cocoon: The Return (1988),Comedy|Sci-Fi,"[3.0, 1.0, 3.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
Rocky II (1979),Action|Drama,"[4.0, 3.0, 4.0, 5.0, 3.0, 3.5, 3.0, 3.0, 5.0, 1.0, 3.0, 4.0, 2.0, 4.0, 3.0, 2.0, 2.0, 3.0, 4.5, 0.5, 4.0, 4.0, 4.0, 3.0, 3.0, 2.5]"
Rocky III (1982),Action|Drama,"[3.5, 3.5, 4.0, 2.0, 3.0, 4.5, 1.0, 2.0, 2.0, 1.0, 3.0, 3.0, 1.5, 2.0, 2.0, 4.0, 2.0, 3.5, 3.0, 3.0, 4.0, 3.0, 3.0, 2.0]"
Rocky IV (1985),Action|Drama,"[3.0, 3.0, 3.5, 4.0, 1.0, 2.0, 2.0, 4.0, 1.0, 3.0, 5.0, 3.5, 5.0, 1.0, 3.0, 3.0, 1.0, 2.0, 2.0, 1.0, 4.0, 3.0, 3.5, 3.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
Rocky V (1990),Action|Drama,"[3.0, 2.0, 3.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 2.0, 1.0, 1.5, 1.5, 2.5, 3.0, 1.5]"
Clue (1985),Comedy|Crime|Mystery|Thriller,"[3.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.5, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 2.5, 3.0]"
Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller,"[3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 4.0]"
Violets Are Blue... (1986),Drama|Romance,[3.0]
Back to School (1986),Comedy,"[3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 3.0, 1.0, 4.0, 4.0, 1.5, 3.5, 3.0, 3.5, 4.0, 2.0]"
Heartburn (1986),Comedy|Drama,[1.0]
Nothing in Common (1986),Comedy,"[2.0, 2.0, 4.0, 2.5, 4.0, 2.0]"
Extremities (1986),Drama|Thriller,"[3.5, 4.0]"
"Karate Kid, The (1984)",Drama,"[4.0, 3.0, 3.0, 3.5, 2.5, 3.0, 5.0, 4.0, 2.0, 2.5, 3.5, 3.0, 3.0, 4.0, 4.5, 3.0, 3.0, 3.5, 4.5, 4.0, 3.0, 3.5, 4.0, 3.5, 2.0, 4.0, 4.0, 4.0, 4.5, 4.5, 5.0, 3.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0]"
"Karate Kid, Part II, The (1986)",Action|Adventure|Drama,"[3.0, 3.0, 3.5, 2.0, 4.0, 4.0, 3.5, 3.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.5, 2.0, 2.0, 2.0, 2.0, 0.5, 4.0, 5.0, 2.0, 3.5, 3.0, 3.0, 3.5, 1.0, 2.5, 3.0]"
"Karate Kid, Part III, The (1989)",Action|Adventure|Children|Drama,"[3.0, 1.0, 2.0, 2.0, 0.5, 1.0, 2.0, 2.0, 2.5, 2.0, 2.0, 1.0, 1.5, 2.0]"
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),Comedy,"[4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 2.5, 5.0, 5.0, 4.0, 4.5, 2.0, 4.0, 2.5, 4.0, 2.0, 2.0, 4.5, 1.5, 3.5, 2.0, 3.5, 3.5, 5.0, 4.0, 4.5, 2.0, 3.0, 3.5, 2.0]"
You've Got Mail (1998),Comedy|Romance,"[0.5, 2.0, 4.0, 4.0, 1.0, 4.0, 3.5, 2.0, 4.0, 4.5, 3.0, 3.5, 3.0, 3.0, 3.0, 4.0, 3.0, 4.5, 3.0, 4.0, 1.5, 3.0, 0.5, 4.0, 1.0, 3.0, 4.0, 3.5, 3.5, 3.5, 4.0, 4.0, 4.0, 5.0, 4.0, 2.5, 3.5, 3.5, 1.5, 3.0, 3.5, 4.0, 3.0, 3.0, 5.0, 2.5, 2.5, 1.0, 2.0, 3.5]"
"General, The (1998)",Crime,"[4.0, 4.0]"
"Thin Red Line, The (1998)",Action|Drama|War,"[5.0, 1.5, 3.5, 4.0, 0.5, 5.0, 5.0, 3.5, 4.5, 2.0, 2.0, 1.5, 5.0, 2.0, 5.0, 3.0, 3.0, 3.0, 0.5, 1.0, 4.5, 3.0, 2.0, 4.0, 3.0, 4.0, 4.0, 4.5, 4.0, 4.0, 4.0, 5.0, 5.0, 1.0, 3.0]"
"Faculty, The (1998)",Horror|Sci-Fi,"[3.0, 3.0, 1.5, 2.5, 4.0, 1.0, 2.5, 3.5, 1.0, 1.0, 4.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.5, 3.0, 3.5, 3.0, 1.5, 3.0, 3.5]"
Mighty Joe Young (1998),Action|Adventure|Drama|Fantasy|Thriller,"[1.0, 3.0, 3.0, 4.0, 3.0]"
Mighty Joe Young (1949),Adventure|Children|Drama,"[2.0, 3.0, 3.0, 4.0, 2.0, 3.0]"
Patch Adams (1998),Comedy|Drama,"[5.0, 3.5, 2.0, 5.0, 4.0, 4.0, 2.0, 4.5, 3.0, 3.0, 4.0, 4.0, 4.5, 4.0, 4.5, 4.0, 1.0, 3.0, 3.5, 4.0, 2.5, 1.0, 4.0, 2.5, 1.0, 3.5, 4.0]"
Stepmom (1998),Drama,"[2.0, 2.0, 4.5, 2.0, 4.5, 3.5]"
"Civil Action, A (1998)",Drama,"[3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.5]"
Hurlyburly (1998),Drama,[4.0]
Tea with Mussolini (1999),Comedy|Drama|War,"[5.0, 5.0, 4.0, 3.0, 5.0, 3.5]"
Affliction (1997),Drama,"[3.0, 2.5, 4.0]"
Hilary and Jackie (1998),Drama,"[3.5, 4.0, 4.0]"
Playing by Heart (1998),Drama|Romance,"[3.0, 4.5, 4.0, 4.0, 2.5, 4.0, 3.0, 2.0]"
At First Sight (1999),Drama,"[3.0, 2.0, 3.0, 2.0, 4.0, 2.0, 2.5, 3.0]"
In Dreams (1999),Horror|Thriller,"[2.0, 2.0]"
Varsity Blues (1999),Comedy|Drama,"[4.0, 2.0, 1.5, 3.5, 5.0, 3.5, 4.0, 3.0, 4.0, 4.5, 3.0, 3.0, 2.0, 4.0, 2.0]"
Virus (1999),Horror|Sci-Fi,"[3.5, 3.0, 1.5]"
Howard the Duck (1986),Adventure|Comedy|Sci-Fi,"[4.0, 2.0, 2.0, 2.5, 3.0, 0.5, 3.0, 1.0, 1.0, 2.0, 3.0, 1.0, 0.5, 5.0, 2.0, 2.0]"
"Gate, The (1987)",Horror,[3.0]
"Boy Who Could Fly, The (1986)",Drama|Fantasy,"[3.0, 1.5, 2.0]"
"Fly, The (1958)",Horror|Mystery|Sci-Fi,"[4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 2.0, 3.0]"
"Fly, The (1986)",Drama|Horror|Sci-Fi|Thriller,"[2.0, 4.5, 3.0, 5.0, 1.0, 3.0, 2.5, 4.0, 4.0, 4.0, 4.0, 2.0, 5.0, 4.0, 3.0, 3.0, 3.0, 3.5, 2.5, 3.0, 4.0, 5.0, 3.5, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 2.5, 3.5, 4.0, 5.0, 3.0, 3.0, 4.0, 3.5, 2.0, 3.5, 3.0, 2.0, 4.0, 4.0]"
"Fly II, The (1989)",Horror|Sci-Fi,"[2.5, 2.0, 1.0, 1.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
Running Scared (1986),Action|Comedy,"[3.0, 4.0, 3.0, 4.5, 3.0, 5.0, 2.0, 4.0]"
Armed and Dangerous (1986),Comedy|Crime,"[2.0, 2.0, 3.0, 4.0, 3.0, 2.0, 4.0, 2.0]"
"Texas Chainsaw Massacre, The (1974)",Horror,"[5.0, 3.0, 1.0, 4.0, 3.5, 2.0, 4.0, 3.5, 5.0, 1.0, 4.0, 3.0, 3.5]"
"Texas Chainsaw Massacre 2, The (1986)",Horror,"[3.0, 1.0, 2.0]"
Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994),Horror,[3.0]
Ruthless People (1986),Comedy,"[2.0, 4.0, 2.5, 4.0, 3.0, 4.0, 3.0, 4.0, 2.0, 2.0, 5.0, 4.0, 4.0, 3.0]"
Deadly Friend (1986),Horror,"[1.0, 2.0, 1.5]"
"Name of the Rose, The (Name der Rose, Der) (1986)",Crime|Drama|Mystery|Thriller,"[4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 4.5, 4.0, 4.5, 5.0, 3.5, 4.0, 2.5, 3.5, 4.5, 3.5, 4.0]"
Jumpin' Jack Flash (1986),Action|Comedy|Romance|Thriller,"[2.0, 3.5, 3.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.5, 3.5, 1.0, 3.0, 2.0]"
Peggy Sue Got Married (1986),Comedy|Drama,"[4.5, 4.0, 3.0, 3.0, 3.0, 4.0, 1.0]"
Crocodile Dundee (1986),Adventure|Comedy,"[5.0, 3.0, 3.0, 1.0, 4.0, 3.0, 3.0, 4.0, 3.5, 4.0, 3.0, 3.0, 3.0, 4.0, 2.0, 3.0, 3.0, 3.0, 3.5, 3.0, 1.5, 2.0, 4.0, 3.5, 2.0, 2.5, 3.0, 3.5, 3.5, 3.5, 3.5, 5.0, 3.5, 2.5, 4.0, 3.0, 2.0, 4.0, 3.0, 2.0, 4.0, 4.5, 3.0, 4.0, 5.0, 2.0, 3.5, 4.0, 3.0, 4.0, 3.0, 4.0, 3.5, 3.0, 1.0, 2.5, 1.5]"
Crocodile Dundee II (1988),Action|Adventure|Comedy,"[3.0, 1.0, 1.0, 2.5, 3.0, 3.0, 1.0, 4.5, 0.5, 3.0, 1.0, 4.0, 2.0, 1.0, 3.0, 1.0, 2.5, 5.0, 3.0, 4.0, 4.0, 2.0, 3.0, 1.5]"
Tough Guys (1986),Comedy,"[4.0, 3.0, 2.0]"
Soul Man (1986),Comedy,"[2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.5]"
"Color of Money, The (1986)",Drama,"[4.0, 2.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.5, 4.0]"
52 Pick-Up (1986),Action|Mystery|Thriller,"[5.0, 2.0, 4.0]"
Heartbreak Ridge (1986),Action|War,"[3.0, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 3.0]"
Firewalker (1986),Adventure,"[3.0, 2.0, 5.0]"
¡Three Amigos! (1986),Comedy|Western,"[4.0, 2.0, 5.0, 5.0, 2.0, 4.0, 3.5, 3.5, 2.0, 2.5, 2.0, 3.5, 3.0, 4.0, 4.0, 2.5, 1.0, 3.0, 3.0, 3.0, 3.0, 3.5, 3.0, 4.0, 3.0, 2.5]"
My Name Is Joe (1998),Drama|Romance,[4.0]
Still Crazy (1998),Comedy|Romance,"[3.0, 3.0]"
"Day of the Beast, The (Día de la Bestia, El) (1995)",Adventure|Comedy|Thriller,[3.5]
She's All That (1999),Comedy|Romance,"[5.0, 3.0, 2.0, 4.0, 3.5, 3.0, 4.0, 2.5, 4.0, 3.0, 3.0, 3.5, 0.5, 3.0, 3.0, 2.0, 3.0, 2.5, 3.0, 0.5, 5.0, 3.0, 3.0, 2.0, 3.0, 2.5, 2.5, 1.5, 2.0]"
Peeping Tom (1960),Drama|Horror|Thriller,"[3.5, 0.5, 5.0]"
Payback (1999),Action|Thriller,"[3.0, 3.5, 3.0, 4.5, 3.0, 4.0, 3.0, 3.5, 4.0, 3.0, 4.0, 3.5, 2.0, 4.0, 4.0, 5.0, 3.5, 2.5, 5.0, 5.0, 2.0, 2.0, 4.0, 4.0, 1.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.5, 5.0, 4.0, 4.0, 1.0, 3.0, 5.0, 2.0, 3.0, 3.5, 5.0]"
Simply Irresistible (1999),Comedy|Romance,"[4.0, 4.5, 3.0, 2.0, 4.5]"
20 Dates (1998),Comedy|Romance,"[4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0]"
"Harmonists, The (1997)",Drama,[4.0]
"Last Days, The (1998)",Documentary,"[4.0, 4.0]"
"Fantastic Planet, The (Planète sauvage, La) (1973)",Animation|Sci-Fi,"[5.0, 2.5, 4.5]"
Blast from the Past (1999),Comedy|Romance,"[3.0, 3.0, 4.0, 4.0, 2.0, 3.0, 3.0, 3.5, 4.0, 3.0, 3.0, 1.5, 3.5, 4.0, 3.0, 3.0, 1.0, 2.0, 3.0, 4.5, 4.0, 2.5, 4.0]"
Message in a Bottle (1999),Romance,"[4.0, 4.0, 3.0, 2.0, 3.0, 1.5]"
My Favorite Martian (1999),Comedy|Sci-Fi,"[2.0, 1.0, 3.0, 2.5, 2.0]"
Jawbreaker (1999),Comedy,"[2.0, 1.5, 1.5, 3.0, 1.0, 1.0, 4.0]"
October Sky (1999),Drama,"[2.0, 4.0, 3.0, 4.0, 4.5, 4.0, 5.0, 4.0, 4.5, 4.0, 4.0, 2.5, 4.0, 4.5, 5.0, 2.5, 3.5, 5.0, 3.0, 4.0, 5.0, 3.5, 3.5, 3.5, 4.0, 3.5, 3.0, 3.5, 2.5, 3.5]"
Office Space (1999),Comedy|Crime,"[5.0, 4.5, 2.0, 2.0, 5.0, 5.0, 4.5, 5.0, 5.0, 3.0, 4.0, 4.5, 4.5, 3.0, 3.0, 3.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.0, 4.5, 4.5, 4.0, 3.0, 4.0, 5.0, 4.0, 5.0, 2.5, 4.0, 5.0, 4.0, 1.5, 4.0, 4.5, 4.0, 4.5, 3.5, 4.0, 3.0, 3.0, 3.0, 3.5, 4.0, 4.0, 3.5, 5.0, 5.0, 4.5, 4.5, 4.0, 3.5, 4.0, 2.0, 4.0, 4.5, 4.0, 4.0, 5.0, 4.5, 5.0, 4.0, 4.0, 4.5, 4.0, 4.5, 3.5, 3.0, 4.5, 5.0, 5.0, 5.0, 4.0, 4.5, 5.0, 4.5, 3.5, 4.0, 4.5, 4.5, 4.0, 2.5, 5.0, 4.0, 4.5, 4.5, 4.0, 4.0, 4.0, 4.5, 5.0]"
"Apple, The (Sib) (1998)",Drama,[4.0]
200 Cigarettes (1999),Comedy|Drama,"[4.0, 2.0, 4.0, 3.0, 3.0, 3.0]"
8MM (1999),Drama|Mystery|Thriller,"[4.0, 3.0, 3.5, 4.0, 3.5, 3.0, 1.0, 4.0, 3.0, 2.5, 3.5, 3.0, 2.0, 3.0, 3.0, 2.0, 1.5, 3.5]"
"Other Sister, The (1999)",Comedy|Drama|Romance,"[2.5, 3.0, 2.0, 5.0, 4.0, 3.5]"
